texto,label,fonte,data_coleta
Corte Suprema rejeita ação contra política governamental,verdadeiro,TSE,2022-10-13
STF confirma validade de decreto presidencial,verdadeiro,Agência Brasil,2024-08-17
Taxa de desocupação cai,verdadeiro,Lupa,2022-08-20
STF determina cumprimento de decisão anterior,verdadeiro,Fato ou Fake,2024-02-05
"Suposto namorado americano de Dilma desmente aventura amorosa: "" Me and Dilma? Never! "". .",falso,Fake.br-Corpus,2026-05-24
Atitude de Lula confirma diagnóstico de transtorno incurável. O petista abandonou Dilma e elogiou Temer. .,falso,Fake.br-Corpus,2026-05-24
"General que chamou governo Dilma de corrupto e incompetente agora cumpre funções burocráticas. "" A mera substituição da presidente da República ""não trará mudança significativa no status quo"" e que ""a vantagem da mudança seria o descarte da incompetência, má gestão e corrupção"".",falso,Fake.br-Corpus,2026-05-24
justiça federal proíbe boca de urna na eleição da ufba,verdadeiro,Correio,2026-05-24
influenciadora presa desde é liberada para o regime semiaberto,verdadeiro,Metrópoles,2026-05-24
ladrões da mário de andrade fizeram visita guiada antes de roubo,verdadeiro,Metrópoles,2026-05-24
"Delegado da PF denuncia plano de ""falso atentado"" contra Lula.",falso,Fake.br-Corpus,2026-05-24
cortes de vídeo viram mercado e arma de guerra para as eleições,verdadeiro,O GLOBO,2026-05-24
Presidente planeja fechar o Congresso Nacional,falso,Fato ou Fake,2024-03-29
Congresso aprova venda de terras para estrangeiros,falso,Aos Fatos,2023-11-16
quem nos defenderá do stf,verdadeiro,Gazeta do Povo,2026-05-24
babosa o ingrediente natural queridinho da beleza que exige cautela,verdadeiro,UOL,2026-05-24
"Dilma vai aos EUA ""chorar as pitangas"".",falso,Fake.br-Corpus,2026-05-24
fux antecipa voto para manter prisões de pai e primo de vorcaro,verdadeiro,Diario Do Comercio,2026-05-24
"Ex-presidente do BC: ""O Tesouro Nacional está quebrado.",falso,Fake.br-Corpus,2026-05-24
análise flávio cai em pesquisas e lula investe em pacote de bondades,verdadeiro,CNN Brasil,2026-05-24
casa de graça como beneficiários do bolsa família e bpc garantem isenção no minha casa minha vida,verdadeiro,Correio,2026-05-24
por que investidores estrangeiros saem da bolsa brasileira,verdadeiro,Gazeta do Povo,2026-05-24
Lei proíbe transporte privado,falso,Agência Brasil,2022-10-04
ibovespa fecha em queda de e dólar volta a superar r,verdadeiro,Folha De Boa Vista,2026-05-24
STF mantém sigilo de processo judicial,verdadeiro,TSE,2024-03-28
Câmara aprova lei trabalhista,verdadeiro,Fato ou Fake,2024-04-04
entenda em pontos a decisão dos eua que autorizou citação de moraes,verdadeiro,CNN Brasil,2026-05-24
Blog esquerdista dá a entender que reclamar de dedada no futebol é sinal de homofobia.,falso,Fake.br-Corpus,2026-05-24
não há estímulo para sair do bolsa família diz luciano huck,verdadeiro,Poder360,2026-05-24
casos graves de gripe pressionam hospitais e acendem alerta em quase todo o brasil,verdadeiro,G1,2026-05-24
Fundos de investimento crescem,verdadeiro,Lupa,2024-09-11
delação de aliados do pcc revela fraude de r milhões em combustíveis,verdadeiro,O DIA,2026-05-24
"Assessores do Planalto dizem que o Rivotril não está funcionando: ""Ela grita, xinga, ameaça e chora"".",falso,Fake.br-Corpus,2026-05-24
Decreto proíbe escolas privadas,falso,Agência Brasil,2026-05-24
Taxa de desocupação atinge máximo,falso,Aos Fatos,2021-06-02
Senado aprova reforma do sistema previdenciário,verdadeiro,Fato ou Fake,2024-10-10
Investimento estrangeiro direto cresce 15% no Brasil,verdadeiro,Agência Brasil,2021-03-13
Temer vai punir Sergio Reis e Tiririca por traição.,falso,Fake.br-Corpus,2026-05-24
brasil tem das espécies de sucuri do mundo veja onde elas vivem,verdadeiro,G1,2026-05-24
Governo extingue bolsa de valores,falso,Lupa,2022-06-29
virada cultural saiba quanto a prefeitura pagou aos artistas em,verdadeiro,Terra,2026-05-24
"Kelly Key: ""O público acha que recebo pensão milionária do ex"". .",falso,Fake.br-Corpus,2026-05-24
Real fecha em alta,verdadeiro,TSE,2024-02-01
thiago rangel emendas para obras em escolas entram na mira do stf,verdadeiro,G1,2026-05-24
PIB per capita atinge novo recorde,verdadeiro,Lupa,2024-08-21
Mercado de ações colapsa,falso,Agência Brasil,2023-09-23
"Dólar cai 1,2% em relação ao real",verdadeiro,TSE,2023-10-13
bruno gagliasso acusa cazarré de lucrar com fake news,verdadeiro,Veja,2026-05-24
"Revista Veja recebeu R$ 460 milhões durante gestões petistas, aponta jornalista.",falso,Fake.br-Corpus,2026-05-24
Impeachment corre o risco de ser anulado pelo STF e Dilma poderá retornar ao cargo.,falso,Fake.br-Corpus,2026-05-24
Forças Armadas aparecem em pesquisa como instituição mais confiável do país: 68% de aprovação.,falso,Fake.br-Corpus,2026-05-24
o fim da esperança de juros baixos inflação trava queda da selic,verdadeiro,Correio Braziliense,2026-05-24
"Victor Chaves detona a Rede Globo: ""Desrespeitosa, profana ... o jornalismo não mostra a coisa como é"".",falso,Fake.br-Corpus,2026-05-24
eleições veja regras para doações e gastos de campanha,verdadeiro,Tribuna De Minas,2026-05-24
TSE implementa novo sistema de votação,verdadeiro,Agência Brasil,2020-07-07
Lula assina decreto para aumentar salário mínimo,verdadeiro,Fato ou Fake,2023-12-26
Construção civil cria 50 mil novos empregos,verdadeiro,Aos Fatos,2021-02-15
Tognolli: Odebrecht vai dar tiro pra todo lado e fulminar a política nacional.,falso,Fake.br-Corpus,2026-05-24
o que se sabe sobre o tiroteio na casa branca,verdadeiro,"O Estado de S. Paulo,",2026-05-24
supersalários transformam governo em motor de desigualdades,verdadeiro,Gazeta do Povo,2026-05-24
"Site diz que nadador americano que ""inventou"" assalto estava na gandaia com mulheres.",falso,Fake.br-Corpus,2026-05-24
"Após cuspir em Bolsonaro, Jean Wyllys recebe punição leve e debocha do povo: ""A ética venceu"".",falso,Fake.br-Corpus,2026-05-24
Investimento em infraestrutura cresce 20%,verdadeiro,Fato ou Fake,2020-06-12
casal de tuiuiús inicia reforma de ninho no pantanal de ms,verdadeiro,G1,2026-05-24
Via: GATEWAY PUNDIT,falso,ISOT Dataset,2026-05-24
"Coreia do Norte faz nova ameaça: ""O Japão não é mais necessário.",falso,Fake.br-Corpus,2026-05-24
"Psiquiatra emite diagnóstico de Lula: ""Personalidade psicopática e transtorno incurável"".",falso,Fake.br-Corpus,2026-05-24
"""Bombagira""? Esquadrão antibomba é chamado para desativar macumba.",falso,Fake.br-Corpus,2026-05-24
Setor de serviços expande,verdadeiro,Aos Fatos,2021-10-31
Banco Central anuncia nova rodada de corte de juros,verdadeiro,TSE,2024-02-09
gaza uma terra quase esquecida milhares de palestinos seguem à deriva,verdadeiro,Correio Braziliense,2026-05-24
lula volta a cobrar pec da segurança e diz que governadores são reféns das polícias,verdadeiro,Metrópoles,2026-05-24
câncer colorretal sus adota novo exame para rastreio na população,verdadeiro,Tribuna De Minas,2026-05-24
Lula tenta desmoralizar Sérgio Moro mais uma vez.,falso,Fake.br-Corpus,2026-05-24
Sérgio Moro bloqueia a transferência dos veículos de Cunha.,falso,Fake.br-Corpus,2026-05-24
dono da riachuelo sobre fim da escala x estimativa é que vai haver inflação,verdadeiro,Diário de Pernambuco,2026-05-24
Inflação de serviços desacelera,verdadeiro,Lupa,2025-06-26
Hiperinflação vai destruir economia brasileira,falso,TSE,2022-05-19
pt aciona pgr contra mario frias por suspeita de rachadinha,verdadeiro,Metrópoles,2026-05-24
Índice Bovespa recupera perdas,verdadeiro,Lupa,2022-05-08
Corte Suprema mantém prisão de acusado,verdadeiro,Agência Brasil,2025-05-24
Índice de ações atinge novo patamar,verdadeiro,Agência Brasil,2022-07-18
fux antecipa voto e stf tem a para manter prisões de pai e primo de vorcaro,verdadeiro,InfoMoney,2026-05-24
Inflação de transportes desacelera,verdadeiro,Aos Fatos,2025-01-11
Ministério da Saúde obriga vacinação com nanochips,falso,Aos Fatos,2023-06-18
Preços aumentam 400%,falso,Agência Brasil,2020-07-02
"Paulo Henrique Amorim: ""O assassino de Campinas não era louco.",falso,Fake.br-Corpus,2026-05-24
Lula diz que senador petista agiu como um imbecil e idiota.,falso,Fake.br-Corpus,2026-05-24
Economia tem expansão acelerada,verdadeiro,Lupa,2023-02-19
Desemprego elimina empregos,falso,Aos Fatos,2023-12-14
"Jornal italiano comemora extradição de Cesare Battisti : ""Um terrorista que foi protegido por Lula"".",falso,Fake.br-Corpus,2026-05-24
"Bolsa de Valores fecha em alta com ganhos de 2,3%",verdadeiro,Aos Fatos,2023-01-01
Governo elimina democracia,falso,Agência Brasil,2023-10-05
"""Se EUA os atacarem, Kim Jon vai sequestrar turistas e funcionários de embaixadas"" diz desertor. ""A Coréia do Norte planeja tomar reféns ocidentais se os ataques dos EUA acontecerem"", revelou um desertor. (NEWS.AU.COM) O regime paranóico de Kim Jong-un teria treinado equipes especializadas para seqüestrar turistas e funcionários de governos no exterior (embaixadores, diplomatas, etc...) em caso de deflagração de uma Guerra Mundial.",falso,Fake.br-Corpus,2026-05-24
CRIME: Renan autorizou compra de equipamentos eletrônicos para obstruir trabalho da Polícia Federal.,falso,Fake.br-Corpus,2026-05-24
Mercado reage positivamente a anúncio econômico,verdadeiro,Fato ou Fake,2021-03-18
Mercado de trabalho cria 200 mil novos empregos,verdadeiro,TSE,2022-04-11
Bolsa fecha permanentemente,falso,Agência Brasil,2022-07-27
"Com uma dívida de mais de R$ 500 bilhões, Petrobras tenta vender campos de produção do pré-sal. .",falso,Fake.br-Corpus,2026-05-24
justiça autoriza r bilhões em atrasados do inss,verdadeiro,G1,2026-05-24
política nas universidades desvio de função,verdadeiro,Poder360,2026-05-24
CORRUPÇÃO: Governo dos EUA monitorou negócios suspeitos da Odebrecht durante mandato de Lula. .,falso,Fake.br-Corpus,2026-05-24
Câmbio tem volatilidade reduzida,verdadeiro,Lupa,2021-05-27
RIO 2016: Advogado diz que comprou ingressos falsos de ator da Globo.,falso,Fake.br-Corpus,2026-05-24
Governo vai proibir uso de dinheiro em espécie,falso,Agência Brasil,2023-12-11
proposta de porte de armas para veterinários avança no congresso sem base de dados,verdadeiro,Correio Braziliense,2026-05-24
governo federal planeja crédito para o garimpo e fim do uso de mercúrio,verdadeiro,Brasil 247,2026-05-24
"""Kim sumiu! Ditador espalhou sósias pelo país e se escondeu em bunker antinuclear"" diz jornal. .",falso,Fake.br-Corpus,2026-05-24
até o meu fiscal me enganou,verdadeiro,Município Dia A Dia,2026-05-24
Marido de atriz petista é demitido de estatal.,falso,Fake.br-Corpus,2026-05-24
Tribunal Eleitoral homologa eleição,verdadeiro,Agência Brasil,2021-08-29
"Índice de preços ao consumidor cai 0,3%",verdadeiro,Fato ou Fake,2022-08-16
Economia cresce acima da meta,verdadeiro,Fato ou Fake,2022-12-18
Governo congela todas as contas,falso,TSE,2020-12-03
datafolha indica que caso dark horse ainda pode ampliar desgaste de flávio bolsonaro,verdadeiro,Brasil 247,2026-05-24
fux antecipa voto e stf tem a para manter prisões de vorcaros,verdadeiro,Terra,2026-05-24
"Ao retornar da Europa, Gilmar Mendes é reconhecido em avião: Os passageiros não perdoaram!.",falso,Fake.br-Corpus,2026-05-24
"Atriz que contraiu doença autoimune culpa a Rede Globo: ""Após a demissão, a tristeza afetou minha saúde"". .",falso,Fake.br-Corpus,2026-05-24
A Comissão de Constituição e Justiça (CCJ) da Câmara aprovou a Proposta de Emenda à Constituição (PEC) que reduz a maioridade penal no Brasil. A votação terminou com 44 votos favoráveis e 18 contrários. O texto agora segue para análise de uma comissão especial antes de ir ao plenário da Casa.,verdadeiro,G1,2026-06-12
Cuidado com as notícias da grande mídia: O Hopi Hari NÃO PEGOU FOGO em sua reestréia!.,falso,Fake.br-Corpus,2026-05-24
governo para big techs toma que o filho é teu,verdadeiro,UOL Notícias,2026-05-24
itajubá busca reconhecimento para polo de inovação,verdadeiro,Diario Do Comercio,2026-05-24
Presidente planeja vender a Amazônia para a China,falso,TSE,2023-07-18
"Deputado honesto: ""Somos marajás sim.",falso,Fake.br-Corpus,2026-05-24
"Ex-Illuminati: ""Uma futura Terceira Guerra Mundial já está programada.",falso,Fake.br-Corpus,2026-05-24
STF determina prisão de críticos do governo,falso,Aos Fatos,2021-01-05
"Xi Jinping alerta Trump: ""Se houver um erro estratégico, a situação pode sair de controle"".",falso,Fake.br-Corpus,2026-05-24
Mercado de ações fecha em alta,verdadeiro,TSE,2022-12-07
Quem mata mais? FHC ou Bolsonaro?.,falso,Fake.br-Corpus,2026-05-24
"Delator disse que tinha uma ""kitnet exclusiva"" só para esconder propina do governador Pimentel (PT-MG). .",falso,Fake.br-Corpus,2026-05-24
Silvio Santos humilhou dono da Friboi.,falso,Fake.br-Corpus,2026-05-24
Governo entrega Brasil para estrangeiros,falso,TSE,2026-03-16
estilos opostos e visões de mundo distintas moldam marqueteiros dos presidenciáveis,verdadeiro,O GLOBO,2026-05-24
Economia cresce acima das expectativas do mercado,verdadeiro,Aos Fatos,2022-08-25
datafolha lula atrai do eleitorado de centro flávio bolsonaro,verdadeiro,CNN Brasil,2026-05-24
Inflação anual atinge 300%,falso,Fato ou Fake,2022-10-06
